               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12319,             0.14872,            0.047506,             0.30356,             0.18893,             0.11014,            0.048365,             0.10219,             0.23388,            0.040619,           0.0033251,           0.0033251,            0.070074
                   1,             0.10682,             0.17424,            0.036471,             0.38398,             0.21871,             0.16054,            0.067578,             0.10159,             0.23978,            0.037743,           0.0066583,           0.0066583,            0.040074
                   2,             0.10576,              0.1772,            0.034395,             0.40885,              0.2014,             0.16071,            0.066821,             0.10172,             0.25355,            0.036641,           0.0099908,           0.0099908,            0.010073
                   3,             0.10286,             0.17528,            0.032647,             0.42473,             0.23124,             0.19632,            0.098586,            0.096725,             0.23988,            0.034901,           0.0099978,           0.0099978,           0.0099978
                   4,             0.10037,             0.17421,            0.030942,             0.57739,             0.23757,             0.22146,             0.11186,            0.095674,             0.23467,            0.033635,           0.0099978,           0.0099978,           0.0099978
                   5,            0.099094,             0.17048,            0.030198,             0.57563,             0.25095,             0.23263,              0.1174,            0.095009,             0.23216,            0.033228,           0.0099961,           0.0099961,           0.0099961
                   6,            0.098669,             0.17147,            0.029597,             0.44925,             0.26859,               0.244,              0.1215,            0.094863,              0.2324,            0.032542,           0.0099938,           0.0099938,           0.0099938
                   7,            0.097999,             0.16908,            0.028889,             0.31992,             0.29992,             0.26416,             0.13626,             0.09397,             0.23102,            0.032171,           0.0099911,           0.0099911,           0.0099911
                   8,            0.097659,              0.1694,            0.028672,             0.37893,             0.31092,             0.27568,             0.14609,            0.093292,             0.23273,            0.031794,           0.0099879,           0.0099879,           0.0099879
                   9,            0.097067,             0.16935,            0.027866,              0.3649,             0.32405,             0.28738,             0.15006,            0.093103,             0.23117,             0.03152,           0.0099842,           0.0099842,           0.0099842
                  10,            0.096582,              0.1697,             0.02786,             0.36645,             0.31376,             0.27952,             0.14703,            0.093368,              0.2324,             0.03216,             0.00998,             0.00998,             0.00998
                  11,            0.096379,             0.16789,            0.027392,             0.37239,             0.32824,             0.29754,             0.15874,            0.093095,             0.23071,            0.031322,           0.0099753,           0.0099753,           0.0099753
                  12,            0.096013,             0.16801,            0.027112,             0.37789,             0.32601,             0.29734,             0.15847,            0.092811,             0.23006,            0.031422,           0.0099702,           0.0099702,           0.0099702
                  13,            0.095714,             0.16374,            0.026733,             0.40474,             0.32982,             0.31213,             0.16721,            0.092466,             0.22921,             0.03128,           0.0099645,           0.0099645,           0.0099645
                  14,             0.09525,             0.16577,            0.026591,              0.4076,             0.32554,             0.31043,             0.16815,            0.092353,             0.23018,            0.030859,           0.0099584,           0.0099584,           0.0099584
                  15,            0.095517,             0.16582,            0.026386,             0.41809,             0.33578,             0.31773,             0.17203,            0.092132,             0.22966,            0.030527,           0.0099517,           0.0099517,           0.0099517
                  16,             0.09495,             0.16337,            0.026109,             0.41112,             0.34316,             0.32502,             0.17694,            0.091917,              0.2297,              0.0302,           0.0099446,           0.0099446,           0.0099446
                  17,             0.09504,             0.16326,            0.025932,              0.4055,             0.34319,             0.32543,             0.17447,            0.091977,             0.22884,             0.03011,            0.009937,            0.009937,            0.009937
                  18,            0.094421,             0.16455,            0.025838,             0.42986,             0.33433,             0.32761,             0.17698,            0.091669,             0.22894,            0.030252,           0.0099289,           0.0099289,           0.0099289
                  19,            0.094431,             0.16365,             0.02572,             0.43014,             0.33088,             0.32388,             0.17436,            0.091753,             0.22924,            0.030502,           0.0099203,           0.0099203,           0.0099203
                  20,            0.094546,             0.16431,            0.025527,             0.44555,             0.33972,              0.3363,             0.18297,            0.091667,             0.22858,            0.029965,           0.0099112,           0.0099112,           0.0099112
                  21,            0.094281,             0.16386,            0.025495,             0.44009,             0.34196,             0.33502,             0.18047,            0.091526,             0.22822,            0.030162,           0.0099017,           0.0099017,           0.0099017
                  22,            0.094097,             0.16427,            0.025198,             0.41552,             0.35114,             0.33121,             0.17973,            0.091302,             0.22883,            0.030055,           0.0098916,           0.0098916,           0.0098916
                  23,             0.09364,             0.16307,            0.025094,             0.46907,             0.33358,              0.3369,             0.18374,            0.091366,             0.22777,            0.029906,           0.0098811,           0.0098811,           0.0098811
                  24,            0.094018,              0.1625,            0.025057,             0.43661,             0.35316,             0.34201,              0.1883,            0.091354,             0.22867,            0.029786,           0.0098701,           0.0098701,           0.0098701
                  25,            0.093821,              0.1617,            0.024846,             0.44167,             0.34598,             0.33777,             0.18411,            0.091311,             0.22911,            0.029799,           0.0098586,           0.0098586,           0.0098586
                  26,            0.093913,             0.16364,            0.024786,             0.46189,             0.34736,             0.34347,             0.18653,             0.09114,              0.2289,            0.029771,           0.0098467,           0.0098467,           0.0098467
