               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13501,             0.12981,            0.053036,             0.15356,             0.10304,            0.050361,            0.016386,             0.11475,              0.2359,            0.047329,           0.0033251,           0.0033251,            0.070074
                   1,             0.11526,             0.17659,             0.04128,             0.28063,             0.15605,            0.082058,            0.027734,             0.10905,             0.24628,            0.042812,           0.0066583,           0.0066583,            0.040074
                   2,             0.11261,             0.18262,            0.038886,             0.42633,             0.16207,            0.092603,            0.035121,             0.10746,             0.24571,             0.04088,           0.0099908,           0.0099908,            0.010073
                   3,             0.11016,             0.18354,            0.037268,             0.31806,             0.19552,             0.11047,            0.046823,             0.10493,             0.24992,            0.040217,           0.0099978,           0.0099978,           0.0099978
                   4,             0.10833,             0.18198,            0.036143,             0.45511,             0.18003,             0.12311,            0.054015,             0.10354,             0.24348,            0.038754,           0.0099978,           0.0099978,           0.0099978
                   5,             0.10741,             0.18315,             0.03511,             0.45897,             0.18297,             0.13344,            0.056146,             0.10324,              0.2479,            0.037512,           0.0099961,           0.0099961,           0.0099961
                   6,              0.1066,             0.17962,            0.034478,             0.47699,             0.18601,             0.14245,            0.061212,               0.103,             0.24511,            0.037005,           0.0099938,           0.0099938,           0.0099938
                   7,             0.10615,             0.18244,            0.033989,             0.49875,             0.17366,             0.14986,            0.067283,              0.1021,             0.24592,            0.036708,           0.0099911,           0.0099911,           0.0099911
                   8,             0.10528,             0.17892,            0.033437,             0.38224,             0.18752,             0.15186,            0.066952,             0.10204,             0.24564,            0.036954,           0.0099879,           0.0099879,           0.0099879
                   9,              0.1055,             0.17916,            0.033249,              0.3825,             0.19749,             0.15866,            0.070843,             0.10169,             0.24345,            0.036371,           0.0099842,           0.0099842,           0.0099842
                  10,             0.10485,             0.18065,            0.033246,             0.50758,             0.20289,             0.16414,            0.074943,             0.10126,             0.24325,            0.036348,             0.00998,             0.00998,             0.00998
                  11,             0.10474,             0.17992,            0.032572,             0.31628,             0.21046,             0.17342,            0.079404,               0.101,             0.24355,            0.035772,           0.0099753,           0.0099753,           0.0099753
                  12,             0.10442,             0.17782,            0.032511,             0.52571,             0.19913,             0.17245,            0.079836,             0.10086,             0.24243,            0.035875,           0.0099702,           0.0099702,           0.0099702
                  13,             0.10411,              0.1779,            0.032281,             0.30035,             0.21786,              0.1742,            0.079924,              0.1006,             0.24349,            0.035571,           0.0099645,           0.0099645,           0.0099645
                  14,             0.10397,             0.17917,            0.032206,             0.40179,             0.20961,             0.17919,            0.082681,             0.10053,             0.24184,            0.035207,           0.0099584,           0.0099584,           0.0099584
                  15,             0.10412,             0.17869,            0.032058,             0.26697,             0.21015,             0.18261,            0.083669,             0.10046,             0.24225,            0.035175,           0.0099517,           0.0099517,           0.0099517
                  16,             0.10372,             0.17918,            0.031446,             0.28342,              0.2277,             0.18651,            0.085658,             0.10028,             0.24203,            0.035322,           0.0099446,           0.0099446,           0.0099446
                  17,              0.1035,             0.17877,            0.031627,             0.37488,             0.22142,             0.18785,            0.086114,             0.10015,             0.24146,            0.034827,            0.009937,            0.009937,            0.009937
                  18,             0.10317,             0.17722,            0.031298,             0.39874,              0.2134,              0.1965,            0.090446,             0.10005,             0.24131,            0.034634,           0.0099289,           0.0099289,           0.0099289
                  19,             0.10348,             0.17873,            0.031316,             0.33586,             0.22157,             0.19778,            0.091588,            0.099888,             0.24154,            0.034602,           0.0099203,           0.0099203,           0.0099203
                  20,             0.10303,             0.17888,            0.031106,             0.30714,             0.22231,             0.19773,            0.092142,            0.099709,              0.2416,            0.034803,           0.0099112,           0.0099112,           0.0099112
                  21,              0.1026,             0.17552,            0.030835,             0.28327,             0.23404,             0.20026,            0.093614,            0.099834,             0.24197,            0.034529,           0.0099017,           0.0099017,           0.0099017
                  22,             0.10299,             0.17764,            0.030985,             0.32691,             0.22217,             0.19899,            0.094413,            0.099614,             0.24171,            0.035018,           0.0098916,           0.0098916,           0.0098916
                  23,              0.1029,             0.17677,            0.030792,             0.29674,             0.23557,             0.20207,            0.095868,            0.099388,             0.24142,            0.034522,           0.0098811,           0.0098811,           0.0098811
                  24,             0.10274,             0.17686,             0.03056,             0.29957,              0.2421,             0.20605,            0.097684,            0.099511,             0.24054,            0.034074,           0.0098701,           0.0098701,           0.0098701
                  25,             0.10234,             0.17429,            0.030423,             0.29665,             0.24711,             0.20968,            0.098785,            0.099467,             0.24097,            0.034202,           0.0098586,           0.0098586,           0.0098586
                  26,             0.10265,             0.17652,            0.030617,             0.31567,             0.23969,              0.2124,             0.10241,            0.099259,             0.24101,            0.034068,           0.0098467,           0.0098467,           0.0098467
                  27,             0.10222,             0.17807,            0.030494,             0.35462,             0.22422,             0.21467,             0.10179,            0.099124,             0.24138,            0.034041,           0.0098342,           0.0098342,           0.0098342
                  28,              0.1023,             0.17581,            0.030379,             0.33803,             0.23589,             0.21555,             0.10194,            0.099198,              0.2417,            0.033975,           0.0098213,           0.0098213,           0.0098213
                  29,             0.10234,             0.17709,            0.030281,             0.30991,             0.25005,              0.2132,             0.10213,            0.099072,             0.23935,            0.033843,           0.0098079,           0.0098079,           0.0098079
                  30,             0.10226,               0.178,            0.030128,               0.324,             0.23831,             0.21578,              0.1043,            0.098971,             0.24034,            0.033879,           0.0097941,           0.0097941,           0.0097941
                  31,             0.10214,             0.17627,            0.030172,             0.29128,             0.25811,             0.21619,             0.10438,            0.098763,             0.24037,            0.033842,           0.0097798,           0.0097798,           0.0097798
                  32,              0.1022,              0.1767,            0.030067,               0.357,             0.23184,              0.2249,             0.10891,            0.098885,                0.24,             0.03365,            0.009765,            0.009765,            0.009765
                  33,             0.10203,             0.17631,            0.029825,             0.32349,             0.24451,             0.21956,             0.10555,              0.0987,             0.23947,            0.033512,           0.0097497,           0.0097497,           0.0097497
                  34,             0.10228,             0.17626,                0.03,             0.29279,             0.26686,             0.22061,             0.10701,            0.098604,             0.24038,            0.033878,            0.009734,            0.009734,            0.009734
                  35,             0.10156,             0.17448,            0.029788,             0.27725,             0.27878,             0.22117,             0.10652,            0.098675,             0.23996,            0.033808,           0.0097178,           0.0097178,           0.0097178
                  36,             0.10189,             0.17448,            0.029886,             0.28776,             0.26882,             0.22146,             0.10634,            0.098771,             0.24193,            0.033818,           0.0097011,           0.0097011,           0.0097011
                  37,             0.10174,             0.17464,             0.02957,             0.32346,             0.25793,             0.22535,             0.10885,            0.098482,             0.24125,            0.033566,            0.009684,            0.009684,            0.009684
                  38,             0.10155,             0.17487,            0.029574,             0.34542,             0.24489,             0.22521,             0.10962,            0.098462,             0.23979,            0.033548,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10183,             0.17707,            0.029675,              0.3248,             0.25637,             0.22629,             0.11084,            0.098529,             0.24003,            0.033427,           0.0096484,           0.0096484,           0.0096484
